query_key,status,bbl,bin,label,pelias_confidence,match_type,returned_number,returned_street,geocoded_at
Manhattan|2690|BROADWAY,mismatch,,,"23 B'WAY, New York, NY, USA",,,23,B'WAY,2026-09-20T19:47:18+00:00
Manhattan|26|1 AVENUE,ok,1004290009,1005735,"26 1 AVENUE, New York, NY, USA",0.8,fallback,26,1 AVENUE,2026-09-20T19:47:17+00:00
Manhattan|26|WEST 127 STREET,ok,1017240049,1053577,"26 WEST 127 STREET, New York, NY, USA",0.8,fallback,26,WEST 127 STREET,2026-09-20T19:47:17+00:00
Manhattan|26|WEST 17 STREET,ok,1008180066,1015400,"26 WEST 17 STREET, New York, NY, USA",0.8,fallback,26,WEST 17 STREET,2026-09-20T19:47:17+00:00
Manhattan|270|WEST 96 STREET,ok,1012437503,1091038,"270 WEST 96 STREET, New York, NY, USA",0.8,fallback,270,WEST 96 STREET,2026-09-20T19:47:18+00:00
Manhattan|272|SPRING STREET,ok,1005790035,1090918,"272 SPRING STREET, New York, NY, USA",0.8,fallback,272,SPRING STREET,2026-09-20T19:47:18+00:00
Manhattan|278|8 AVENUE,ok,1007737504,1091035,"278 8 AVENUE, New York, NY, USA",0.8,fallback,278,8 AVENUE,2026-09-20T19:47:18+00:00
Manhattan|280|BROADWAY,ok,1001530001,1079215,"280 BROADWAY, New York, NY, USA",0.8,fallback,280,BROADWAY,2026-09-20T19:47:18+00:00
Manhattan|2847|8 AVENUE,ok,1020460034,1060866,"2847 8 AVENUE, New York, NY, USA",0.8,fallback,2847,8 AVENUE,2026-09-20T19:47:18+00:00
Manhattan|2847|FREDERICK DOUGLASS BOULEVARD,ok,1020460034,1060866,"2847 FREDERICK DOUGLASS BOULEVARD, New York, NY, USA",0.8,fallback,2847,FREDERICK DOUGLASS BOULEVARD,2026-09-20T19:47:18+00:00
Manhattan|286|LENOX AVENUE,ok,1017220003,1053453,"286 LENOX AVENUE, New York, NY, USA",0.8,fallback,286,LENOX AVENUE,2026-09-20T19:47:18+00:00
Manhattan|28|KING STREET,ok,1005190024,1008094,"28 KING STREET, New York, NY, USA",0.8,fallback,28,KING STREET,2026-09-20T19:47:18+00:00
Manhattan|28|WEST 57 STREET,ok,1012720056,1081140,"28 WEST 57 STREET, New York, NY, USA",0.8,fallback,28,WEST 57 STREET,2026-09-20T19:47:18+00:00
Manhattan|294|BOWERY,ok,1005210084,1008208,"294 BOWERY, New York, NY, USA",1,exact,294,BOWERY,2026-09-20T19:47:18+00:00
Manhattan|297|EAST 10 STREET,ok,1004040057,1005162,"297 EAST 10 STREET, New York, NY, USA",0.8,fallback,297,EAST 10 STREET,2026-09-20T19:47:18+00:00
Manhattan|299|EAST 103 STREET,ok,1016750001,1052674,"299 EAST 103 STREET, New York, NY, USA",0.8,fallback,299,EAST 103 STREET,2026-09-20T19:47:18+00:00
Manhattan|2|BROAD STREET,ok,1000230019,1078982,"2 BROAD STREET, New York, NY, USA",0.8,fallback,2,BROAD STREET,2026-09-20T19:47:12+00:00
Manhattan|2|GOLD STREET,ok,1000690018,1087146,"2 GOLD STREET, New York, NY, USA",0.8,fallback,2,GOLD STREET,2026-09-20T19:47:12+00:00
Manhattan|2|PEN PLAZA,mismatch,,,"2 LINCOLN PLAZA, New York, NY, USA",,,2,LINCOLN PLAZA,2026-09-20T19:47:12+00:00
Manhattan|2|PENN PLAZA,ok,1007810002,1083026,"2 PENN PLAZA, New York, NY, USA",0.8,fallback,2,PENN PLAZA,2026-09-20T19:47:12+00:00
Manhattan|2|WEST 47 STREET,ok,1012620037,1000000,"2 WEST 47 STREET, New York, NY, USA",0.8,fallback,2,WEST 47 STREET,2026-09-20T19:47:12+00:00
Manhattan|300|EAST 40 STREET,ok,1009457501,1022051,"300 EAST 40 STREET, New York, NY, USA",0.8,fallback,300,EAST 40 STREET,2026-09-20T19:47:19+00:00
Manhattan|300|EAST 50 STREET,ok,1013420051,1091935,"300 EAST 50 STREET, New York, NY, USA",0.8,fallback,300,EAST 50 STREET,2026-09-20T19:47:19+00:00
Manhattan|300|LAFAYETTE STREET,ok,1005100038,1090340,"300 LAFAYETTE STREET, New York, NY, USA",0.8,fallback,300,LAFAYETTE STREET,2026-09-20T19:47:19+00:00
Manhattan|300|WEST 56 STREET,ok,1010460036,1080917,"300 WEST 56 STREET, New York, NY, USA",0.8,fallback,300,WEST 56 STREET,2026-09-20T19:47:19+00:00
Manhattan|301|EAST 80 STREET,ok,1015437503,1090305,"301 EAST 80 STREET, New York, NY, USA",0.8,fallback,301,EAST 80 STREET,2026-09-20T19:47:19+00:00
Manhattan|303|EAST 83 STREET,ok,1015460001,1049916,"303 EAST 83 STREET, New York, NY, USA",0.8,fallback,303,EAST 83 STREET,2026-09-20T19:47:19+00:00
Manhattan|304|WEST 117 STREET,ok,1019437503,1087201,"304 WEST 117 STREET, New York, NY, USA",0.8,fallback,304,WEST 117 STREET,2026-09-20T19:47:19+00:00
Manhattan|304|WEST 49 STREET,ok,1010390038,1025145,"304 WEST 49 STREET, New York, NY, USA",0.8,fallback,304,WEST 49 STREET,2026-09-20T19:47:19+00:00
Manhattan|305|CANAL STREET,ok,1002310003,1003007,"305 CANAL STREET, New York, NY, USA",0.8,fallback,305,CANAL STREET,2026-09-20T19:47:19+00:00
